Condition,Cycle time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Dosage time,Injection time,Material cushion,Maximum injection pressure,Mould temperature control unit 1,Switch-over volume
Condition7,29.816,283.6,293.24,319.13,309.1187878787879,308.17,2.96,0.194,0.930328,1833.07,85.86,1.41334
Condition7,29.222,287.41,289.62,297.32,312.33,329.63,2.706,0.194,0.91146,1755.03,90.59,1.39542
Condition7,29.586,283.49,297.44,316.95,319.58,321.91,2.906,0.194,0.93146,1800.86,94.29,1.46542
Condition7,29.722,270.63,296.93,316.36,299.75,324.54,2.866,0.194,0.872593,1742.91,85.99,1.44542
Condition7,27.486,282.25,294.82,311.77,319.36,303.23,2.804,0.194,0.900328,1688.19,92.24,1.34334
Condition7,29.708,286.48,308.33,298.83,318.28,315.29,2.872,0.194,0.939388,1796.39,92.25,1.42655
Condition7,29.154,272.62,295.42424242424244,306.65,308.04,306.68,2.866,0.194,0.864858,1735.325,86.81,1.41655
Condition7,29.934,286.69,294.79,310.54545454545456,324.14,302.78,2.87,0.194,0.937315,1688.62,85.55,1.47655
Condition7,29.194,273.67,299.92,321.23,302.49,310.19,2.79,0.194,0.93599,1782.48,90.84,1.37655
Condition7,29.348,282.36,289.45,322.2,295.03,316.94,2.974,0.194,0.890328,1690.08,89.93,1.45768
Normal1,28.602,278.36,288.29,310.87,301.58,323.62,2.964,0.244,0.93223,1491.46,92.6,1.46334
Normal1,28.384,287.24,293.3616666666667,317.72,303.4,300.04,2.824,0.244,0.966952,1530.38,93.13,1.45334
Normal1,30.314,277.83,306.86,314.93,310.68,306.19,2.966,0.224,0.952422,1584.07,90.19458333333334,1.36334
Normal1,28.694,291.23,308.71,322.65,302.62,314.7344680851064,2.926,0.224,0.9472074565217391,1590.02,93.05,1.38334
Normal1,28.424,275.14,281.04,305.97,312.71,324.18,2.946,0.224,0.971097,1487.25,90.61,1.46334
Normal1,30.046,279.59,303.08,310.73,317.84,309.67,2.928,0.23421276595744683,0.960734,1598.58,93.67,1.43334
Normal1,29.216,269.38,286.43,310.48854166666666,316.44,329.39,2.95,0.234,0.952037,1545.51,89.19,1.44334
Normal1,28.456,281.84,302.79,314.23,320.02,307.92,2.898,0.224,0.922037,1599.89,85.91,1.37334
Normal1,28.246,271.62,286.81,324.0,306.85,308.12,2.898,0.234,0.969772,1603.36,87.87,1.43334
Normal1,27.996,281.08,282.87,314.65,297.23,327.85,2.948,0.224,1.024132,1545.43,92.32,1.36334
Normal1,27.966,293.55,298.07,321.1,298.61,309.35,3.044,0.224,0.9277,1487.54,88.4,1.4072983333333333
Normal1,29.646,283.62,298.01,309.23,304.47,308.51,2.944,0.244,0.940905,1550.15,93.55,1.47334
Normal1,28.986,270.83,303.68,305.44,319.66,314.52,2.844,0.244,0.927315,1566.22,89.29,1.35334
Normal1,30.238,285.16,284.19,319.64,324.4,329.77,2.976,0.234,0.88411,1549.57,92.05,1.44334
Normal1,29.758,278.14,308.84,304.51,324.31,319.46,2.896,0.244,0.892977,1544.2333333333333,86.6,1.44334
Normal1,28.478,278.29,304.19,300.17,321.87,313.54,2.85,0.244,0.935242,1579.28,93.41,1.38334
Normal1,27.508,284.6,281.31,309.82,307.72,309.78,2.918,0.224,0.9472074565217391,1446.05,93.99,1.35334
Normal1,29.316,279.99291666666664,303.91,310.48854166666666,303.28,303.78,3.09,0.23421276595744683,0.932977,1499.84,86.4,1.41334
Normal1,29.126,293.69,281.91,324.13,322.2,307.31,3.168,0.224,0.91958,1505.81,90.19458333333334,1.48334
Normal1,29.876,279.81,303.88,297.65,295.4,323.39,2.938,0.244,0.926952,1536.42,92.58,1.40334
Normal1,28.88308333333333,287.07,293.3616666666667,297.0,299.9,301.29,3.098,0.244,0.889388,1504.16,93.18,1.37334
Normal1,29.678,266.69,292.32,322.99,302.12,301.82,3.058,0.224,0.899772,1521.99,90.97,1.35334
Normal1,28.186,288.27,294.7,309.17,296.9,306.91,2.944,0.234,0.92411,1561.34,92.67,1.40334
Normal1,27.462,282.35,283.53,305.2,313.66,314.79,2.864,0.234,0.949217,1581.75,86.41,1.40334
Normal1,27.512,270.13,290.37,309.52,315.6,320.03,2.9555000000000002,0.234,0.987892,1588.26,93.82,1.42334
Normal1,29.422,282.52,285.65,321.53,299.53,307.78,2.78,0.224,0.977892,1536.49,92.51,1.47334
Normal1,28.382,274.14,295.92,311.05,303.0,304.45,3.114,0.244,0.92582,1533.91,87.84,1.36334
Normal1,30.124,280.83,284.85,309.78,312.82,299.71,2.914,0.224,0.926952,1505.71,90.92,1.37334
Normal1,28.704,279.28,296.7,302.61,296.65,302.27,3.05,0.224,0.928085,1523.44,89.81,1.45334
Normal1,30.264,291.44,288.95,316.32,315.77,329.48,2.9,0.244,0.929409,1637.4,86.6,1.46334
Normal1,28.88308333333333,278.65,300.74,296.55,296.75,328.8,2.9555000000000002,0.244,0.9472074565217391,1503.2,87.32,1.37334
Normal1,27.732,279.41,287.32,301.67,321.28,314.7344680851064,3.02,0.244,0.928085,1618.32,87.47,1.35334
Normal1,28.762,274.41,308.43,317.12,318.89,321.24,2.922,0.234,0.991482,1566.05,92.82,1.4072983333333333
Normal1,28.492,271.11,291.83,296.37,318.27,330.46,3.032,0.234,0.954687,1491.5,87.42,1.34334
Normal1,29.622,293.47,283.13,299.6,303.09,324.59,2.948,0.234,0.964687,1587.85,86.76,1.43334
Normal1,29.422,271.95,289.11,317.19,300.23,317.56,2.968,0.224,0.978662,1553.01,93.23,1.48334
Normal1,29.352,266.33,282.48,295.04,309.5670833333333,308.03,2.844,0.244,0.94676,1471.43,90.25,1.42334
Normal1,28.472,284.23,292.91,311.84,304.88,319.61,3.074,0.224,0.993747,1499.4,87.31,1.47334
Normal1,28.804,279.99291666666664,300.06,318.22,302.4,318.47,2.882,0.224,0.97488,1613.9,92.47,1.37334
Normal1,29.374,281.57,281.33,317.71,309.5670833333333,307.4,3.062,0.23421276595744683,0.936012,1576.96,91.88,1.34334
Normal1,28.334,286.24,298.62,304.48,321.1,320.76,2.842,0.244,0.919217,1542.0,90.87,1.45334
Normal1,27.92,284.33,290.3,301.98,322.88,323.57,2.766,0.234,0.95035,1554.81,88.27,1.40334
Normal1,27.76,287.66,284.67,323.41,306.25,317.34,2.92,0.244,0.964687,1596.46,92.32,1.34334
Normal1,29.016,271.02,286.58,325.33,318.52,327.61,2.84,0.244,0.9472074565217391,1621.22,89.29,1.41334
Normal1,30.026,289.2,287.73,307.13,315.58,315.9,2.972,0.244,0.950157,1559.37,86.1,1.35334
Normal1,27.672,276.77,290.02,296.48,304.33,308.13,2.992,0.244,0.987144,1544.2333333333333,91.1,1.44334
Normal1,28.902,271.31,306.53,314.11,320.23,314.7344680851064,3.042,0.234,0.968085,1488.4,86.58,1.44334
Normal1,29.882,277.94,281.23,312.32,299.27,300.4,3.01,0.224,1.027529,1567.15,87.67,1.35334
Normal1,28.714,275.42,301.18,299.56,295.57,312.54,3.004,0.224,0.969217,1475.37,93.16,1.35334
Normal1,29.12,274.92,309.3,314.73,322.46,325.19,3.086,0.234,0.888447,1445.52,87.7,1.38334
